Country,League,Season,round,Date,Time,Home,Away,HG,AG,HxG,AxG,HExpG+,AExpG+,Res,PSCH,PSCD,PSCA
Mexico,Liga MX,2023/2024,12,2023/10/07,04:00,Mazatlan,Club America,1,2,0.5,2.3,0.725,2.165,A,5.04,4.44,1.65
Mexico,Liga MX,2023/2024,12,2023/10/08,02:00,Pachuca,Tigres UANL,1,1,1.1,2.1,1.055,1.605,D,3.03,3.6,2.38
Mexico,Liga MX,2023/2024,12,2023/10/08,02:00,Guadalajara,Atlas,4,1,2,0.6,2.9,0.78,H,2.59,3.02,3.22
Mexico,Liga MX,2023/2024,12,2023/10/08,04:10,Cruz Azul,UNAM Pumas,1,4,2,1.5,1.55,2.625,A,2.34,3.75,2.99
Mexico,Liga MX,2023/2024,12,2023/10/08,00:00,Monterrey,FC Juarez,3,1,2,1.5,2.45,1.275,H,1.49,4.7,6.71
Mexico,Liga MX,2023/2024,12,2023/10/08,19:00,Toluca,Queretaro,3,1,3.6,1.1,3.33,1.055,H,1.63,4.43,5.27
Mexico,Liga MX,2023/2024,12,2023/10/09,04:00,Tijuana,Atletico San Luis,2,1,1.9,2.1,1.945,1.605,H,1.96,3.8,3.91
Mexico,Liga MX,2023/2024,12,2023/10/09,02:05,Santos Laguna,Leon,0,2,0.3,2.1,0.165,2.055,A,2.18,4.06,3.1
Mexico,Liga MX,2023/2024,12,2023/10/09,00:00,Necaxa,Puebla,1,2,1.7,1.1,1.385,1.505,A,2.25,3.68,3.2
Mexico,Liga MX,2023/2024,13,2023/10/21,04:10,Puebla,Guadalajara,0,2,1.5,1.1,0.825,1.505,A,3.85,3.61,2.03
Mexico,Liga MX,2023/2024,13,2023/10/21,02:06,FC Juarez,Pachuca,0,1,1.7,1.4,0.935,1.22,A,2.49,3.42,3
Mexico,Liga MX,2023/2024,13,2023/10/21,02:00,Atlas,Mazatlan,1,3,2.5,1.7,1.825,2.285,A,1.74,3.98,4.92
Mexico,Liga MX,2023/2024,13,2023/10/22,02:00,Club America,Santos Laguna,4,3,3.1,0.9,3.505,1.845,H,1.37,5.65,8.02
Mexico,Liga MX,2023/2024,13,2023/10/22,00:00,Leon,Toluca,1,0,1.2,1.3,1.11,0.715,H,1.99,3.78,3.83
Mexico,Liga MX,2023/2024,13,2023/10/22,02:06,Queretaro,Tijuana,1,0,1.6,0.6,1.33,0.33,H,2.12,3.48,3.72
Mexico,Liga MX,2023/2024,13,2023/10/22,04:10,Tigres UANL,Cruz Azul,2,1,0.9,0.6,1.395,0.78,H,1.59,4.49,5.61
Mexico,Liga MX,2023/2024,13,2023/10/22,19:00,UNAM Pumas,Monterrey,0,1,1,0.3,0.55,0.615,A,2.38,3.59,3.04
Mexico,Liga MX,2023/2024,13,2023/10/23,01:00,Atletico San Luis,Necaxa,4,0,1,0.5,2.35,0.275,H,1.75,4.12,4.62
Mexico,Liga MX,2023/2024,11,2023/10/25,02:00,Leon,Atlas,1,1,1.2,1.1,1.11,1.055,D,1.83,3.71,4.73
Mexico,Liga MX,2023/2024,4,2023/10/26,02:00,Monterrey,Tijuana,3,1,1.9,0.4,2.395,0.67,H,1.6,4.45,5.59
Mexico,Liga MX,2023/2024,11,2023/10/26,04:06,FC Juarez,Atletico San Luis,3,2,0.7,0.7,1.735,1.285,H,2.57,3.56,2.8
Mexico,Liga MX,2023/2024,14,2023/10/28,02:00,Necaxa,UNAM Pumas,1,0,0.9,0.5,0.945,0.275,H,4.1,3.97,1.88
Mexico,Liga MX,2023/2024,14,2023/10/28,04:00,Mazatlan,Queretaro,3,0,1.8,1.9,2.34,1.045,H,2.31,3.49,3.18
Mexico,Liga MX,2023/2024,14,2023/10/29,03:10,Monterrey,Club America,0,3,0.7,1,0.385,1.9,A,2.29,3.76,3.05
Mexico,Liga MX,2023/2024,14,2023/10/29,01:05,Guadalajara,Tigres UANL,0,4,0.8,1.3,0.44,2.515,A,2.99,3.25,2.59
Mexico,Liga MX,2023/2024,14,2023/10/29,18:00,Toluca,Atletico San Luis,3,1,1.5,0.9,2.175,0.945,H,1.68,4.58,4.61
Mexico,Liga MX,2023/2024,14,2023/10/29,01:05,Pachuca,Puebla,1,1,2.5,1.2,1.825,1.11,D,1.68,4.26,5
Mexico,Liga MX,2023/2024,14,2023/10/29,00:00,Cruz Azul,Leon,1,0,1.4,0.5,1.22,0.275,H,2.34,3.57,3.13
Mexico,Liga MX,2023/2024,14,2023/10/30,01:05,Santos Laguna,FC Juarez,5,1,1.9,0.9,3.295,0.945,H,1.7,4.33,4.75
Mexico,Liga MX,2023/2024,14,2023/10/30,03:06,Tijuana,Atlas,2,0,0.3,0.7,1.065,0.385,H,2.03,3.43,4.08
Mexico,Liga MX,2023/2024,15,2023/11/01,03:05,Monterrey,Necaxa,3,0,1,0.2,1.9,0.11,H,1.31,5.94,10.22
Mexico,Liga MX,2023/2024,15,2023/11/01,03:00,Leon,UNAM Pumas,1,1,1.3,0.9,1.165,0.945,D,1.79,4.05,4.46
Mexico,Liga MX,2023/2024,15,2023/11/01,01:00,Toluca,Puebla,0,1,1.2,1.4,0.66,1.22,A,1.5,4.94,6.25
Mexico,Liga MX,2023/2024,15,2023/11/01,01:00,Queretaro,Guadalajara,1,2,2,3.3,1.55,2.715,A,2.9,3.21,2.7
Mexico,Liga MX,2023/2024,15,2023/11/02,01:00,Cruz Azul,FC Juarez,2,0,1.2,0.2,1.56,0.11,H,1.65,4.22,5.28
Mexico,Liga MX,2023/2024,15,2023/11/02,01:00,Atlas,Pachuca,0,2,2,1.4,1.1,1.67,A,2.47,3.28,3.14
Mexico,Liga MX,2023/2024,15,2023/11/02,03:00,Mazatlan,Santos Laguna,3,1,1.9,1.4,2.395,1.22,H,2.96,3.77,2.36
